Logging output to klines_all_daily.log
[2025-09-07 12:18:25] - Received 7195 data points for 1.600678. Storing...
[2025-09-07 12:18:26] - Finished storing daily k-line data for 1.600678.
[2025-09-07 12:18:26] - Fetching daily k-line for 1.600496 (klt: 101)...
[2025-09-07 12:18:28] - Received 5553 data points for 1.600496. Storing...
[2025-09-07 12:18:29] - Finished storing daily k-line data for 1.600496.
[2025-09-07 12:18:29] - Fetching daily k-line for 0.002742 (klt: 101)...
[2025-09-07 12:18:31] - Received 2480 data points for 0.002742. Storing...
[2025-09-07 12:18:31] - Finished storing daily k-line data for 0.002742.
[2025-09-07 12:18:31] - Fetching daily k-line for 0.000672 (klt: 101)...
[2025-09-07 12:18:33] - Received 5297 data points for 0.000672. Storing...
[2025-09-07 12:18:34] - Finished storing daily k-line data for 0.000672.
[2025-09-07 12:18:34] - Fetching daily k-line for 0.002596 (klt: 101)...
[2025-09-07 12:18:35] - Received 3188 data points for 0.002596. Storing...
[2025-09-07 12:18:36] - Finished storing daily k-line data for 0.002596.
[2025-09-07 12:18:36] - Fetching daily k-line for 0.002671 (klt: 101)...
[2025-09-07 12:18:40] - Received 3146 data points for 0.002671. Storing...
[2025-09-07 12:18:40] - Finished storing daily k-line data for 0.002671.
[2025-09-07 12:18:40] - Fetching daily k-line for 1.603616 (klt: 101)...
[2025-09-07 12:18:42] - Received 2473 data points for 1.603616. Storing...
[2025-09-07 12:18:42] - Finished storing daily k-line data for 1.603616.
[2025-09-07 12:18:42] - Fetching daily k-line for 1.600802 (klt: 101)...
[2025-09-07 12:18:45] - Received 7642 data points for 1.600802. Storing...
[2025-09-07 12:18:45] - Finished storing daily k-line data for 1.600802.
[2025-09-07 12:18:45] - Fetching daily k-line for 1.601992 (klt: 101)...
[2025-09-07 12:18:47] - Received 3503 data points for 1.601992. Storing...
[2025-09-07 12:18:47] - Finished storing daily k-line data for 1.601992.
[2025-09-07 12:18:47] - Fetching daily k-line for 0.002205 (klt: 101)...
[2025-09-07 12:18:52] - Received 4249 data points for 0.002205. Storing...
[2025-09-07 12:18:53] - Finished storing daily k-line data for 0.002205.
[2025-09-07 12:18:53] - Fetching daily k-line for 1.600326 (klt: 101)...
[2025-09-07 12:18:55] - Received 5904 data points for 1.600326. Storing...
[2025-09-07 12:18:56] - Finished storing daily k-line data for 1.600326.
